,country,year,kind,title,sid
29529,Japan,1988,Drama,Dennou Keisatsu Cybercop,14191
29530,Japan,2008,Drama Special,Lupin no Shousoku,6118
29532,Japan,2021,Drama,Hankei 5 Metoru,39372
29533,Japan,2019,Drama Special,Ms. Koizumi Loves Ramen Noodles SP  (2019),29482
29534,Japan,2018,Drama,Yakeni Ben no Tatsu Bengoshi ga Gakko de Hoeru,20341
29535,Japan,2008,TV Show,Shabekuri 007,18925
29536,Japan,2012,TV Show,TOKIO Kakeru,19088
29537,Japan,2012,TV Show,KAT-TUN no Sekaiichi Dame Yoru Ni,27542
29538,Japan,2011,TV Show,KAT-TUN no Zettai Manetaku Naru TV,20402
29539,Japan,2014,TV Show,Otona no Kiss Eigo,18937
29547,Japan,2018,Movie,Taiso Shiyou Yo,24250
29554,Japan,2004,Movie,Moonlight Jellyfish,4851
29555,Japan,2020,Drama,Distortion Girl,39475
29557,Japan,2017,Movie,Dawn of the Felines,16105
29558,Japan,2017,Drama Special,Fukigen na Kajitsu Special: Sannenme no Uwaki,15921
29559,Japan,2008,Drama Special,Kyo wa Shibuya de Rokuji,4828
29560,Japan,2001,Drama,R-17,15516
29561,Japan,2018,Drama,Uwasa no Onna,20725
29570,Japan,2016,Drama,Sakurasaku,15864
29574,Japan,1970,Movie,Incident at Blood Pass,11489
29575,Japan,1973,Movie,Miyamoto Musashi,11021
29579,Japan,2012,Drama Special,Akujotachi no Mesu 2,5506
29581,Japan,2006,Movie,Cherry Girl,6496
29596,Japan,2016,Movie,Scanner,13658
29599,Japan,1996,Drama,Ginrou Kaiki File,5226
29600,Japan,2009,Drama,Kaette Kosaserareta 33pun Tantei,16378
29601,Japan,2001,Drama,Rookie,19096
29616,Japan,2009,Drama,Shirayuri Kyodai no Handsome na Shokutaku,6812
29617,Japan,2006,Movie,Sukeban Boy,11513
29618,Japan,2008,Movie,Zombie Hunter Rika,1576
29621,Japan,2019,Drama,Kokou no Mesu,23231
29629,Japan,1969,Movie,Japan's Organized Crime Boss,11863
29631,Japan,2022,Drama,Boku no Daisuki na Tsuma!,46857
29632,Japan,2015,Movie,At Home,10012
29633,Japan,2019,Movie,Katsuben!,23232
29634,Japan,2018,Drama Special,Yo nimo Kimyou na Monogatari: 2018 Fall Special,23725
29638,Japan,2009,Drama,Hyoryu Net Cafe,954
29639,Japan,2008,Movie,Drift - GTR,876
29640,Japan,2008,Drama,Tomorrow,5690
29652,Japan,2000,TV Show,The Shonen Club,18851
29653,Japan,2011,Movie,A Hole In My Panty,13326
29654,Japan,2009,Movie,Bokura wa Ano Sora no Shita de,1885
29655,Japan,2006,Drama Special,Jitensha Shonenki,5356
29656,Japan,2023,Drama Special,Kimi to Sekai ga Owaru Hi ni Special,49829
